"race_feedback","budget_shown","year_shown","duration_shown","race_pick","budget_pick","year_pick","duration_pick","gender","base_race","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","choice-8","race","age","gender_code","race_code","num_excluded_total"
1,1,0,1,0,0,0,1,"Woman",0,"The Founder","Tolkien","The Imitation Game","Oppenheimer","The Aviator","The King's Speech","Capote","Selma","White / Caucasian",40,0,1,138
1,0,1,1,0,0,1,0,"Woman",1,"Hitchcock","Ali","Selma","Walk the Line","Tolkien","The Doors","Rocketman","A Beautiful Day in the Neighborhood","White / Caucasian",54,0,1,138
0,1,1,1,0,0,0,1,"Woman",1,"J. Edgar","Coco Before Chanel","Walk the Line","Harriet","Tolkien","The Doors","A Beautiful Mind","Nixon","White / Caucasian",46,0,1,138
0,1,1,1,0,0,1,1,"Man",1,"Rocketman","Ali","Oppenheimer","Selma","LBJ","Nixon","On The Basis of Sex","Jobs","Asian / Pacific Islander",48,1,0,138
1,1,1,0,0,0,0,0,"Man",3,"42","Harriet","On The Basis of Sex","Coco Before Chanel","Selma","Ali","Rocketman","Capote","White / Caucasian",38,1,1,138
0,1,1,1,1,0,0,1,"Man",0,"The Doors","A Beautiful Day in the Neighborhood","Selma","Patton","Braveheart","Jobs","The Founder","42","White / Caucasian",37,1,1,138
1,1,1,0,1,0,1,1,"Woman",1,"Oppenheimer","Rocketman","The Greatest Showman","Jobs","Coco Before Chanel","42","Moneyball","Harriet","Hispanic / Latinx",32,0,0,138
0,1,1,1,0,1,1,1,"Man",2,"Jobs","Ali","On The Basis of Sex","Selma","42","LBJ","Nixon","Oppenheimer","Asian / Pacific Islander",26,1,0,138
0,1,1,1,0,0,1,0,"Woman",1,"The Greatest Showman","42","The King's Speech","Jobs","The Doors","Walk the Line","Tolkien","A Beautiful Day in the Neighborhood","Black or African American",48,0,0,138
0,1,1,1,1,0,1,1,"Woman",1,"The Doors","On The Basis of Sex","A Beautiful Mind","Braveheart","Ali","Nixon","Walk the Line","Harriet","White / Caucasian",40,0,1,138
0,1,1,1,0,0,1,0,"Man",0,"The Greatest Showman","Moneyball","Oppenheimer","A Beautiful Mind","The Aviator","The Imitation Game","The King's Speech","The Founder","White / Caucasian",36,1,1,138
1,0,1,1,1,1,0,1,"Man",0,"Selma","On The Basis of Sex","Jobs","LBJ","Nixon","The Founder","The Greatest Showman","Ali","White / Caucasian",53,1,1,138
0,1,1,1,0,0,0,0,"Woman",0,"Walk the Line","A Beautiful Day in the Neighborhood","Rocketman","The Greatest Showman","The Founder","On The Basis of Sex","Jobs","Coco Before Chanel","White / Caucasian",41,0,1,138
