"treatment","men_pool","cond","pool","female_pick","base_gender","tech_pick","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","fair1_num","fair2_num","fair3_num","fairness","I1_num","I2_num","I3_num","I4_num","internal_motivation","E1_num","E2_num","E3_num","external_motivation","num_excluded_total"
0,1,"control","men",1,3,0,"Kendra Scott (Founder of Kendra Scott)","Whitney Wolfe Herd (Founder of Bumble)","Jensen Huang (CEO of NVIDIA)","Howard Schultz (Founder of Starbucks)","Phil Knight (Co-founder of Nike)","Leah Busque (Founder of TaskRabbit)","Jane Fraser (CEO of Citigroup)","White / Caucasian","Woman",31,3,3,3,3,4,3,2,3,3,3,3,2,2.66666666666667,68
0,0,"control","women",1,5,0,"Oprah Winfrey (Founder of OWN)","Warren Buffett (CEO of Berkshire Hathaway)","Linda Yaccarino (CEO of X)","Gail Boudreaux (CEO of Elevance Health)","Jane Fraser (CEO of Citigroup)","Jessica Alba (Founder of The Honest Company)","Christine Leahy (CEO of CDW)","White / Caucasian","Man",26,5,5,5,5,7,6,6,7,6.5,7,7,7,7,68
0,1,"control","men",1,1,0,"Jensen Huang (CEO of NVIDIA)","Lisa Su (CEO of AMD)","Larry Page (Co-founder of Google)","Phil Knight (Co-founder of Nike)","Tim Cook (CEO of Apple)","Richard Branson (Founder of Virgin Group)","Leah Busque (Founder of TaskRabbit)","White / Caucasian","Man",30,7,7,7,7,4,7,7,4,5.5,4,1,1,2,68
1,1,"treat","men",1,0,0,"Jeff Bezos (Founder of Amazon)","Satya Nadella (CEO of Microsoft)","Tim Cook (CEO of Apple)","Bill Gates (Co-founder of Microsoft)","Mark Zuckerberg (Co-founder of Facebook)","Michael Bloomberg (Co-founder of Bloomberg LP)","Mary Barra (CEO of General Motors)","Hispanic / Latinx","Man",32,5,6,5,5.33333333333333,5,6,5,5,5.25,7,6,6,6.33333333333333,68
0,1,"control","men",0,0,0,"Andy Jassy (CEO of Amazon)","Phil Knight (Co-founder of Nike)","Larry Page (Co-founder of Google)","Brian Moynihan (CEO of Bank of America)","Jamie Dimon (CEO of JPMorgan Chase)","Jeff Bezos (Founder of Amazon)","Jensen Huang (CEO of NVIDIA)","Asian / Pacific Islander","Man",36,5,6,6,5.66666666666667,6,6,6,7,6.25,6,6,6,6,68
1,0,"treat","women",1,3,0,"Larry Page (Co-founder of Google)","Carol Tomé (CEO of UPS)","Phil Knight (Co-founder of Nike)","Michele Buck (CEO of Hershey)","Tim Cook (CEO of Apple)","Jessica Alba (Founder of The Honest Company)","Jane Fraser (CEO of Citigroup)","White / Caucasian","Woman",29,4,4,4,4,4,4,4,4,4,4,4,4,4,68
1,0,"treat","women",0,5,0,"Michele Buck (CEO of Hershey)","Jessica Alba (Founder of The Honest Company)","Mary Barra (CEO of General Motors)","Sara Blakely (Founder of Spanx)","Leah Busque (Founder of TaskRabbit)","Daymond John (Founder of FUBU)","Warren Buffett (CEO of Berkshire Hathaway)","White / Caucasian","Woman",54,1,1,1,1,1,1,1,1,1,1,1,1,1,68
1,1,"treat","men",1,0,0,"Jensen Huang (CEO of NVIDIA)","Michael Bloomberg (Co-founder of Bloomberg LP)","Tim Cook (CEO of Apple)","Jeff Bezos (Founder of Amazon)","Bill Gates (Co-founder of Microsoft)","Larry Page (Co-founder of Google)","Jane Fraser (CEO of Citigroup)","White / Caucasian","Woman",39,6,5,6,5.66666666666667,5,6,5,6,5.5,6,6,6,6,68
0,0,"control","women",1,3,0,"Carol Tomé (CEO of UPS)","Larry Page (Co-founder of Google)","Phil Knight (Co-founder of Nike)","Michele Buck (CEO of Hershey)","Tim Cook (CEO of Apple)","Oprah Winfrey (Founder of OWN)","Leah Busque (Founder of TaskRabbit)","White / Caucasian","Man",30,4,2,3,3,2,6,6,6,5,3,4,2,3,68
1,0,"treat","women",1,3,0,"Larry Page (Co-founder of Google)","Carol Tomé (CEO of UPS)","Jane Fraser (CEO of Citigroup)","Phil Knight (Co-founder of Nike)","Tim Cook (CEO of Apple)","Michele Buck (CEO of Hershey)","Melanie Perkins (Founder of Canva)","White / Caucasian","Woman",31,3,2,1,2,2,5,2,2,2.75,4,3,1,2.66666666666667,68
