"workerId","attribute_clean","importance_clean","gender","num_excluded_total"
"A36OBCINZGTPKD","wrote at least one book that appears on the American Library Association's banned books list.",3,"Woman",78
"A2FKDFCU383DNF","wrote one of the 500 most commonly taught books in US colleges.",4,"Man",78
"A12NV2EJBTXRE","ever had their work adapted into a major motion picture.",3,"Woman",78
"A2R4LTR8P34P41","ever wrote fiction.",5,"Man",78
"AX3RDV6XXR1XB","wrote an autobiography.",5,"Man",78
"AEAN228XSNGY5","wrote one of the 500 most commonly taught books in US colleges.",5,"Woman",78
"A1O8RNSP179EBP","wrote at least one book that appears on the American Library Association's banned books list.",7,"Man",78
"A34W5KRRL6MLJ1","were born in the United States.",1,"Man",78
"A3TPCXJD1H8UNY","had their work translated into at least 20 languages.",1,"Woman",78
"AUZ3YWTVBISNH","died in the last century.",2,"Man",78
"A1IEYSF6N6ELI6","won a Pulitzer Prize, Nobel Prize or National Book Award.",4,"Man",78
"A122MZOQT9A8XL","wrote primarily about war and civil unrest.",7,"Man",78
"A3ADQ2RLQNJQDU","published their first book in last 5 years.",1,"Woman",78
"A3TER49WE8HZG","ever had their work included in a major literary anthology (e.g. Norton, Oxford).",2,"Man",78
"A38N9TMLW85M00","were racial minorities.",2,"Man",78
"A34GH9SAZ3NAGE","are still alive.",1,"Woman",78
"A1H4GJFI4NJWKV","have been writing professionally for over 30 years.",5,"Woman",78
"A2WU2VYT4U5DZJ","wrote more than 10 books.",1,"Man",78
"A3JURQMNNA4OKD","were born in the 1800s.",1,"Woman",78
"AK2YUQUFZN1L6","wrote at least one book that remained in continuous print for over 50 years.",5,"Man",78
"A1I7H6RDJS4EKN","wrote  books, poems or essays spanning multiple genres.",6,"Man",78
"A2SEO2FNVT5YFX","wrote at least one book that sold over 1 million copies.",1,"Woman",78
"A3KUZ2JNKHZBQK","were women.",4,"Woman",78
"A2PCR8QD4GNB1K","published their first book before the age of 25.",3,"Woman",78
