"cond","base_condition","gender_feedback","poets_shown","oldies_shown","books_shown","women_shown","female_pick","poets_pick","oldies_pick","books_pick","base_gender","base_poets","base_oldies","base_books","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","gender_code","race_code","num_excluded_total"
"treat","low",1,1,1,0,1,0,0,0,1,0,3,4,1,"Nathaniel Hawthorne","Charles Dickens","George Orwell","F. Scott Fitzgerald","Ernest Hemingway","Edward Upward","Michael Crichton","Black or African American","Man",43,1,0,25
"control","high",0,1,1,1,0,0,0,1,1,2,3,4,4,"Maya Angelou","Ernest Hemingway","J.K. Rowling","Charles Dickens","Rudyard Kipling","Herman Melville","J.R.R. Tolkien","Black or African American","Man",57,1,0,25
"treat","high",1,1,0,1,1,0,1,1,1,2,2,4,3,"Jane Austen","Margaret Atwood","Oscar Wilde","Ernest Hemingway","J.R.R. Tolkien","Herman Melville","Charles Dickens","Asian / Pacific Islander","Man",30,1,0,25
"control","low",0,1,1,1,0,0,1,1,0,2,3,1,2,"Joyce Carol Oates","Kurt Vonnegut","Albert Camus","George Orwell","Zadie Smith","Charles Dickens","Nathaniel Hawthorne","White / Caucasian","Man",57,1,1,25
"control","low",0,1,1,1,0,0,0,0,0,2,2,2,5,"Charles Dickens","J.K. Rowling","John Steinbeck","Joyce Carol Oates","Ray Bradbury","Ernest Hemingway","Kurt Vonnegut","Black or African American","Man",29,1,0,25
"treat","high",1,1,0,1,1,0,0,1,1,2,3,4,4,"Charles Dickens","George Orwell","Ernest Hemingway","Jack London","J.K. Rowling","Lucy Maud","Rudyard Kipling","White / Caucasian","Man",58,1,1,25
"control","low",0,1,1,1,0,0,0,1,0,2,1,1,5,"Michael Crichton","J.K. Rowling","John Steinbeck","Ray Bradbury","Joyce Carol Oates","F. Scott Fitzgerald","Ernest Hemingway","White / Caucasian","Woman",60,0,1,25
"treat","low",1,0,1,1,1,0,0,0,1,6,3,1,2,"Zadie Smith","J.K. Rowling","Joyce Carol Oates","Sylvia Plath","Virginia Woolf","Jane Austen","Ray Bradbury","Black or African American","Woman",52,0,0,25
"control","low",0,1,1,1,0,1,1,0,0,0,1,4,2,"Ray Bradbury","Charles Dickens","Ernest Hemingway","Oscar Wilde","F. Scott Fitzgerald","J.D. Salinger","Sylvia Plath","White / Caucasian","Woman",65,0,1,25
"treat","low",1,1,0,1,1,0,0,0,1,2,2,1,3,"George Orwell","Charles Dickens","Jane Austen","J.K. Rowling","Antoine de Saint-Exupéry","Michael Crichton","Ray Bradbury","White / Caucasian","Woman",50,0,1,25
"treat","low",1,1,0,1,1,0,0,1,0,2,3,2,2,"Virginia Woolf","Kurt Vonnegut","Charles Dickens","Ray Bradbury","Neil Gaiman","Sylvia Plath","Ernest Hemingway","White / Caucasian","Woman",54,0,1,25
"control","high",0,1,1,1,0,1,1,0,1,6,3,1,3,"Joyce Carol Oates","Jane Austen","Ayn Rand","Lucy Maud","Maya Angelou","Isabel Allende","Margaret Atwood","Asian / Pacific Islander","Woman",45,0,0,25
"treat","high",1,1,1,0,1,1,1,1,1,2,3,3,2,"Zadie Smith","George Orwell","J.R.R. Tolkien","Jorge Luis Borges","Maya Angelou","Oscar Wilde","Lucy Maud","White / Caucasian","Woman",35,0,1,25
"control","low",0,1,1,1,0,1,0,0,0,3,4,2,2,"Charles Dickens","Joyce Carol Oates","Jane Austen","Virginia Woolf","George Orwell","Edward Upward","Zadie Smith","White / Caucasian","Woman",41,0,1,25
